,sum_tx_matic,avg_tx_gas_cost,tx_date
301,103227081.39843193,0.01821481381594747,2021-10-29
302,37114345.24422806,0.013016144664198639,2021-10-30
303,37698641.75594195,0.013839188429364902,2021-10-31
304,36708833.35957901,0.012379003458390563,2021-11-01
305,47535542.68621937,0.012221766730792269,2021-11-02
306,63481686.94739785,0.013496433292491275,2021-11-03
307,32621859.901606534,0.012857906696494142,2021-11-04
308,50980801.39831728,0.011968729144898334,2021-11-05
309,41849336.34216727,0.013404200967749772,2021-11-06
310,47888675.33924665,0.012022265134144033,2021-11-07
311,44227620.15283179,0.010641967768914032,2021-11-08
312,76635475.19420418,0.011771821953050161,2021-11-09
313,95688883.06383851,0.013419772782199557,2021-11-10
314,56685751.93506309,0.03360241274709931,2021-11-11
315,60066490.181084946,0.013743845985775731,2021-11-12
316,45079148.39079124,0.01361404112745806,2021-11-13
317,62082354.17684475,0.014530056358564932,2021-11-14
318,65970702.13617229,0.013919054052621772,2021-11-15
319,55072735.725544706,0.017691962125687848,2021-11-16
320,40367497.275368884,0.017691856035856383,2021-11-17
321,57140815.080285855,0.017558877081118272,2021-11-18
322,58273888.76757227,0.01610478270655682,2021-11-19
323,28792823.973873675,0.013019068949535192,2021-11-20
324,34734409.74819562,0.015293489843266022,2021-11-21
325,47985955.24854612,0.012924627177984533,2021-11-22
326,43794410.94913667,0.01647366877214397,2021-11-23
327,52705858.085563,0.015675426040346968,2021-11-24
328,75181816.62496069,0.015291970595829086,2021-11-25
329,106480195.34730278,0.020996741753536916,2021-11-26
330,86894748.9014203,0.020273151661856722,2021-11-27
331,63007140.965485655,0.018271155973118913,2021-11-28
332,102284548.11158605,0.014709813754841894,2021-11-29
333,70804127.10809411,0.02306285902630054,2021-11-30
334,93561772.43116657,0.027409506561944755,2021-12-01
335,97197800.33798707,0.024625701093212982,2021-12-02
336,80736694.86526582,0.020504751363655194,2021-12-03
337,87478108.14845529,0.026246421115640645,2021-12-04
338,44028181.77629467,0.017575260086568453,2021-12-05
339,54964496.403075546,0.01755994452843475,2021-12-06
340,42199541.665703095,0.021714304768166243,2021-12-07
341,58787175.926865615,0.024549166171599766,2021-12-08
342,54615580.22599533,0.020714302757419957,2021-12-09
343,50183328.32943761,0.017864807847903966,2021-12-10
344,40487683.05710789,0.01314761649595983,2021-12-11
345,28268886.0934387,0.012854315936029965,2021-12-12
346,68406167.8866536,0.019019427437920542,2021-12-13
347,66581117.84368839,0.014087756028053403,2021-12-14
348,65020438.65290618,0.02610513974331771,2021-12-15
349,62409838.78978799,0.03322099006377458,2021-12-16
350,54967847.78747825,0.018736684182038367,2021-12-17
351,40684008.50734561,0.018172593039939365,2021-12-18
352,68106905.36000451,0.02355499385604821,2021-12-19
353,50790685.855119824,0.015007689954258465,2021-12-20
